Database import

  Current data status:
    Birds: 0
    Bands: 7
    Band Combos: 2

  Import data status:
    TODO: checking import data

Beginning import...
  Importing birds
Kata: Waimakariri, Female, 01/01/10 00:00:00, Alive
Kate: Waimakariri, Female, 01/01/12 00:00:00, Alive
Kath: Westland, Female, 08/02/11 00:00:00, Alive
Katie: Aoraki, Female, , Alive
Katsu: Waimakariri, Female, 01/01/11 00:00:00, Alive
Kaua: Waimakariri, Female, 01/01/15 00:00:00, Alive
Kauri: Waimakariri, Male, 01/01/13 00:00:00, Alive
Kea-Ora: Waimakariri, Male, 01/01/09 00:00:00, Alive
Keeth: Aoraki, Male, , Alive
Keith Moon: Waimakariri, Male, 01/01/06 00:00:00, Alive
Kelly: Rotoiti, Male, 01/01/91 00:00:00, Dead
Kelsey: Kahurangi, Male, 12/01/12 00:00:00, Alive
Kenevil: Kahurangi, Male, 01/01/09 00:00:00, Alive
Kent: Aoraki, Male, , Alive
Kew: Westland, Male, 01/01/10 00:00:00, Dead
Khasm: Fiordland, Male, 01/01/13 00:00:00, Alive
Kicking Bird: Kahurangi, Male, 01/01/10 00:00:00, Alive
Kiekie: Westland, Male, 20/11/11 00:00:00, Alive
Kilian: Fiordland, Male, 01/01/06 00:00:00, Alive
